abbreviation,subsystem,is_reversible,is_exchange,is_transport,lower_bound,upper_bound,bound_range,n_genes,n_metabolites,n_reactants,n_products,growth_wt,growth_knockout,growth_ratio,essential
HMR_4365,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,3,2,1,1,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_4368,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,3,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4370,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,5,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4371,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,3,2,1,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4372,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4373,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,3,6,3,3,245.49258486604325,229.11707850301354,0.9332953116609806,1
HMR_4375,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,2,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4377,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4381,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.4925848660433,1.0000000000000002,0
HMR_4391,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4394,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,5,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4396,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,3,2,1,1,245.49258486604325,229.11707850301357,0.9332953116609807,1
HMR_4521,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_6410,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.4925848660434,1.0000000000000007,0
HMR_6412,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.4925848660434,1.0000000000000007,0
HMR_7745,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,3,2,1,1,245.49258486604325,245.49258486604327,1.0000000000000002,0
HMR_7746,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,4,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_7747,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_7748,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604327,1.0000000000000002,0
HMR_7749,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604344,1.0000000000000009,0
HMR_8360,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8652,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8757,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,7,4,3,245.49258486604325,245.49258486604325,1.0,0
HMR_3989,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,3,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4122,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4837,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_5395,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_5396,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_9727,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,3,1,2,245.49258486604325,-0.0,-0.0,1
HMR_5397,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,2,1,1,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_5398,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_5399,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,2,1,1,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_5400,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_5401,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_8568,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8569,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8570,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8571,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8572,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8573,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8574,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8575,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8576,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8577,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8578,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8579,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8581,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8591,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8580,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8582,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,2,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_8587,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,4,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_8585,Starch and sucrose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,229.11707850301354,0.9332953116609806,1
HMR_3944,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4128,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604333,1.0000000000000004,0
HMR_4130,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4131,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4132,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4303,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604336,1.0000000000000004,0
HMR_4414,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4415,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4416,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,3,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4774,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604327,1.0000000000000002,0
HMR_4775,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604327,1.0000000000000002,0
HMR_4831,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,0,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4832,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_7674,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604333,1.0000000000000004,0
HMR_8761,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8762,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,1,3,1,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8764,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604333,1.0000000000000004,0
HMR_8766,Galactose metabolism,1,0,0,-1000.0,1000.0,2000.0,5,5,3,2,245.49258486604325,245.49258486604327,1.0000000000000002,0
HMR_8767,Galactose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_0454,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,0,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4297,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4310,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,3,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4315,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,2,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4316,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,5,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4317,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,3,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4318,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,3,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4319,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,4,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4320,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,3,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4356,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,2,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4383,Fructose and mannose metabolism,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4385,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,2,2,1,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4386,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,3,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4387,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4399,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,1,3,1,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4400,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,1,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4403,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,0,2,1,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4490,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,4,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4706,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8768,Fructose and mannose metabolism,0,0,0,0.0,1000.0,1000.0,1,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4590,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,1,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4591,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,1,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4592,Pentose and glucuronate interconversions,1,0,0,-1000.0,1000.0,2000.0,5,5,3,2,245.49258486604325,245.4925848660433,1.0000000000000002,0
HMR_4593,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,0,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4594,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,2,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4595,Pentose and glucuronate interconversions,1,0,0,-1000.0,1000.0,2000.0,2,4,2,2,245.49258486604325,245.49258486604327,1.0000000000000002,0
HMR_8341,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,10,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8342,Pentose and glucuronate interconversions,1,0,0,-1000.0,1000.0,2000.0,0,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8344,Pentose and glucuronate interconversions,1,0,0,-1000.0,1000.0,2000.0,0,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8352,Pentose and glucuronate interconversions,1,0,0,-1000.0,1000.0,2000.0,2,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8353,Pentose and glucuronate interconversions,1,0,0,-1000.0,1000.0,2000.0,0,3,1,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8726,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8727,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8728,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,0,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8729,Pentose and glucuronate interconversions,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_6537,Pentose and glucuronate interconversions,1,0,0,-1000.0,1000.0,2000.0,2,5,3,2,245.49258486604325,245.49258486604333,1.0000000000000004,0
HMR_1568,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,2,6,3,3,245.49258486604325,245.49258486604327,1.0000000000000002,0
HMR_3853,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,2,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_3854,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,5,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_3855,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,5,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_3857,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_3859,Pyruvate metabolism,0,0,1,0.0,1000.0,1000.0,2,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4087,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,5,6,2,4,245.49258486604325,245.49258486604325,1.0,0
HMR_4089,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,5,6,2,4,245.49258486604325,245.49258486604325,1.0,0
HMR_4091,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,5,6,2,4,245.49258486604325,245.49258486604325,1.0,0
HMR_4101,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,2,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4103,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,2,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4143,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,7,4,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4193,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8497,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,6,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8498,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,7,4,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8499,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,7,4,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8500,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,6,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8501,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8502,Pyruvate metabolism,1,0,0,-1000.0,1000.0,2000.0,2,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8503,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,2,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8504,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,2,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8506,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,5,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8507,Pyruvate metabolism,1,0,0,-1000.0,0.0,1000.0,2,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8508,Pyruvate metabolism,1,0,0,-1000.0,0.0,1000.0,2,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8509,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,6,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8511,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8512,Pyruvate metabolism,1,0,0,-1000.0,1000.0,2000.0,1,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8514,Pyruvate metabolism,0,0,1,0.0,1000.0,1000.0,1,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8516,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,1,3,1,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8517,Pyruvate metabolism,0,0,0,0.0,1000.0,1000.0,0,3,1,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4280,Pyruvate metabolism,1,0,0,-1000.0,1000.0,2000.0,1,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_0153,Propanoate metabolism,1,0,0,-1000.0,1000.0,2000.0,2,6,3,3,245.49258486604325,229.11707850301352,0.9332953116609805,1
HMR_3797,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,2,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_3800,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,0,7,3,4,245.49258486604325,245.49258486604325,1.0,0
HMR_4282,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,1,7,3,4,245.49258486604325,245.49258486604325,1.0,0
HMR_4331,Propanoate metabolism,1,0,0,-1000.0,1000.0,2000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4459,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4460,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4464,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,0,3,1,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4741,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_8078,Propanoate metabolism,0,0,0,0.0,1000.0,1000.0,0,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_9803,Propanoate metabolism,1,0,0,-1000.0,1000.0,2000.0,0,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_9804,Propanoate metabolism,1,0,0,-1000.0,1000.0,2000.0,20,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_0718,Butanoate metabolism,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_0719,Butanoate metabolism,0,0,0,0.0,1000.0,1000.0,1,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_1434,Butanoate metabolism,1,0,0,-1000.0,1000.0,2000.0,1,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_3163,Butanoate metabolism,0,0,0,0.0,1000.0,1000.0,5,4,2,2,245.49258486604325,245.33134414032588,0.9993431951282548,0
HMR_4461,Butanoate metabolism,1,0,0,-1000.0,1000.0,2000.0,1,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4604,Butanoate metabolism,0,0,0,0.0,1000.0,1000.0,1,5,3,2,245.49258486604325,245.4925848660434,1.0000000000000007,0
HMR_5351,Butanoate metabolism,0,0,0,0.0,1000.0,1000.0,3,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_7709,Butanoate metabolism,1,0,0,-1000.0,1000.0,2000.0,1,3,1,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4052,Pentose phosphate pathway,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,-0.0,-0.0,1
HMR_4304,Pentose phosphate pathway,0,0,0,0.0,1000.0,1000.0,1,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4306,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,5,3,2,245.49258486604325,245.4925848660434,1.0000000000000007,0
HMR_4350,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604322,0.9999999999999999,0
HMR_4351,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4352,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604333,1.0000000000000004,0
HMR_4354,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,3,2,1,1,245.49258486604325,229.11707850301346,0.9332953116609802,1
HMR_4398,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,3,1,2,245.49258486604325,237.3048316845284,0.9666476558304903,1
HMR_4404,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4473,Pentose phosphate pathway,0,0,0,0.0,1000.0,1000.0,1,6,2,4,245.49258486604325,245.49258486604336,1.0000000000000004,0
HMR_4474,Pentose phosphate pathway,0,0,0,0.0,1000.0,1000.0,1,6,2,4,245.49258486604325,245.49258486604333,1.0000000000000004,0
HMR_4476,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4477,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,2,1,1,245.49258486604325,245.49258486604333,1.0000000000000004,0
HMR_4501,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4565,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4567,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4568,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_9800,Pentose phosphate pathway,1,0,0,-1000.0,1000.0,2000.0,4,4,2,2,245.49258486604325,245.49258486604325,1.0,0
